time,_Eihop,_P0,hops,d,_R,_Nb
13163723758,0.18,0.10,1,135,250,90
13174830360,0.176,0.36,1,135,250,90
13182473798,0.57,0.21,1,135,250,90
13241911328,0.43,0.18,1,135,250,90
13255946514,0.28,0.14,1,135,250,90
13263993395,0.129,0.32,1,135,250,90
13273714937,0.82,0.25,1,135,250,90
13283993380,0.25,0.14,1,135,250,90
13287887018,0.104,0.28,1,135,250,90
13328574534,0.14,0.10,1,135,250,90
13331220951,0.165,0.36,1,135,250,90
13331502621,0.129,0.32,1,135,250,90
13344559370,0.79,0.25,1,135,250,90
13369824803,0.64,0.21,1,135,250,90
13392743391,0.82,0.25,1,135,250,90
13396220937,0.104,0.28,1,135,250,90
13399556441,0.82,0.25,1,135,250,90
13458574353,0.39,0.18,1,135,250,90
13474137649,0.64,0.21,1,135,250,90
13474267839,0.03,0.07,1,135,250,90
13541903118,0.18,0.10,1,135,250,90
13590520672,0.28,0.14,1,135,250,90
13670511946,0.133,0.32,1,135,250,90
13685106214,0.79,0.25,1,135,250,90
13685244042,0.140,0.32,1,135,250,90
13694543228,0.100,0.28,1,135,250,90
13694955306,0.108,0.28,1,135,250,90
13711629978,0.64,0.21,1,135,250,90
13732458169,0.14,0.10,1,135,250,90
13757871291,0.43,0.18,1,135,250,90
13774121283,0.14,0.10,1,135,250,90
13793853447,0.158,0.36,1,135,250,90
13828293065,0.61,0.21,1,135,250,90
13852871283,0.18,0.10,1,135,250,90
13861627818,0.57,0.21,1,135,250,90
13868290365,0.172,0.36,1,135,250,90
13889822155,0.86,0.25,1,135,250,90
13896205302,0.82,0.25,1,135,250,90
13944814671,0.61,0.21,1,135,250,90
13956205293,0.18,0.10,1,135,250,90
13966487268,0.100,0.28,1,135,250,90
13994118358,0.28,0.14,1,135,250,90
14007176996,0.162,0.36,1,135,250,90
14010930859,0.64,0.21,1,135,250,90
14043568126,0.18,0.10,1,135,250,90
14080924077,0.79,0.25,1,135,250,90
